gacha_id,banner_name,user_count,warp_count,jade_spent,avg_5_pity,avg_4_pity,rate_5050,image_url,item_id
1001,Steller Warp,,,,,,,steller-warp.png,
4001,Departure Warp,,,,,,,departure-warp.png,
2003,Butterfly on Swordtip,,,,,,,butterfly-on-swordtip.png,1102
3003,In The Night,,,,,,,in-the-night.png,23001
2004,Swirl of Heavenly Spear,,,,,,,swirl-of-heavenly-spear.png,1204
3004,Before Dawn,,,,,,,before-dawn.png,23010
2005,Contract Zero,,,,,,,contract-zero.png,1006
3005,Incessant Rain,,,,,,,incessant-rain.png,23007
2006,Laic Pursuit,,,,,,,laic-pursuit.png,1203
3006,Echoes of the Coffin,,,,,,,echoes-of-the-coffin.png,23008
2007,A Lost Soul,,,,,,,a-lost-soul.png,1205
3007,The Unreachable Side,,,,,,,the-unreachable-side.png,23009
2008,Nessun Dorma,,,,,,,nessun-dorma.png,1005
3008,Patience is All You Need,,,,,,,patience-is-all-you-need.png,23006
2009,Epochal Spectrum,,,,,,,epochal-spectrum.png,1213
3009,Brighter Than the Sun,,,,,,,brighter-than-the-sun.png,23015
2010,"Foreseen, Foreknown, Foretold",,,,,,,foreseen-foreknown-foretold.png,1208
3010,She Already Shut Her Eyes,,,,,,,she-already-shut-her-eyes.png,23011
2011,Gentle Eclipse of the Moon,,,,,,,gentle-eclipse-of-the-moon.png,1212
3011,I Shall Be My Own Sword,,,,,,,i-shall-be-my-own-sword.png,23014
2012,Sunset Clause,,,,,,,sunset-clause.png,1112
3012,"Worrisome, Blissful",,,,,,,worrisome-blissful.png,23016
2013,Butterfly on Swordtip,,,,,,,butterfly-on-swordtip.png,1102
3013,In the Night,,,,,,,in-the-night.png,23001
2014,Bloom in Gloom,,,,,,,bloom-in-gloom.png,1217
3014,Night of Fright,,,,,,,night-of-fright.png,23017
2015,Thorns of Scented Crown,,,,,,,thorns-of-scented-crown.png,1302
3015,An Instant Before A Gaze,,,,,,,an-instant-before-a-gaze.png,23018
2016,Contract Zero,,,,,,,contract-zero.png,1006
3016,Incessant Rain,,,,,,,incessant-rain.png,23007
2017,Floral Triptych,,,,,,,floral-triptych.png,1303
3017,Past Self In Mirror,,,,,,,past-self-in-mirror.png,23019
2018,A Lost Soul,,,,,,,a-lost-soul.png,1205
3018,The Unreachable Side,,,,,,,the-unreachable-side.png,23009
2019,Panta Rhei,,,,,,,panta-rhei.png,1305
3019,Baptism of Pure Thought,,,,,,,baptism-of-pure-thought.png,23020
2020,Nessun Dorma,,,,,,,nessun-dorma.png,1005
3020,Patience Is All You Need,,,,,,,patience-is-all-you-need.png,23006
2021,Ripples in Reflection,,,,,,,ripples-in-reflection.png,1307
3021,Reforged Remembrance,,,,,,,reforged-remembrance.png,23022
2022,Epochal Spectrum,,,,,,,epochal-spectrum.png,1213
3022,Brighter Than the Sun,,,,,,,brighter-than-the-sun.png,23015
2023,Sparking Splendor,,,,,,,sparking-splendor.png,1306
3023,Earthly Escapade,,,,,,,earthly-escapade.png,23021
2024,Swirl of Heavenly Spear,,,,,,,swirl-of-heavenly-spear.png,1204
3024,Before Dawn,,,,,,,before-dawn.png,23010
2025,Words of Yore,,,,,,,words-of-yore.png,1308
3025,Along the Passing Shore,,,,,,,along-the-passing-shore.png,23024
2026,Laic Pursuit,,,,,,,laic-pursuit.png,1203
3026,Echoes of the Coffin,,,,,,,echoes-of-the-coffin.png,23008
2027,Gilded Imprisonment,,,,,,,gilded-imprisonment.png,1304
3027,Inherently Unjust Destiny,,,,,,,inherently-unjust-destiny.png,23023
2028,Gentle Eclipse of the Moon,,,,,,,gentle-eclipse-of-the-moon.png,1212
3028,I Shall Be My Own Sword,,,,,,,i-shall-be-my-own-sword.png,23014
2029,Just Intonation,,,,,,,just-intonation.png,1309
3029,Flowing Nightglow,,,,,,,flowing-nightglow.png,23026
2030,Sunset Clause,,,,,,,sunset-clause.png,1112
3030,"Worrisome, Blissful",,,,,,,worrisome-blissful.png,23016
2031,Dusty Trail's Lone Star,,,,,,,dusty-trails-lone-star.png,1315
3031,Sailing Towards a Second Life,,,,,,,sailing-towards-a-second-life.png,23027
2032,"Foreseen, Foreknown, Foretold",,,,,,,foreseen-foreknown-foretold.png,1208
3032,She Already Shut Her Eyes,,,,,,,she-already-shut-her-eyes.png,23011
2033,Firefull Flyshine,,,,,,,firefull-flyshine.png,1310
3033,Whereabouts Should Dreams Rest,,,,,,,whereabouts-should-dreams-rest.png,23025
2034,Floral Triptych,,,,,,,floral-triptych.png,1303
3034,Past Self in Mirror,,,,,,,past-self-in-mirror.png,23019
2035,"Lien on Life, Lease on Fate",,,,,,,lien-on-life-lease-on-fate.png,1314
3035,Yet Hope is Priceless,,,,,,,yet-hope-is-priceless.png,23028
2036,Thorns of Scented Crown,,,,,,,thorns-of-scented-crown.png,1302
3036,An Instant Before A Gaze,,,,,,,an-instant-before-a-gaze.png,23018
2037,"Earth Hurled, Ether Curled",,,,,,,earth-hurled-ether-curled.png,1221
3037,Dance at Sunset,,,,,,,dance-at-sunset.png,23030
2038,Bloom in Gloom,,,,,,,bloom-in-gloom.png,1217
3038,Night of Fright,,,,,,,night-of-fright.png,23017
2039,Cauldron Contrivance,,,,,,,cauldron-contrivance.png,1218
3039,Those Many Springs,,,,,,,those-many-springs.png,23029
2040,Sparking Splendor,,,,,,,sparking-splendor.png,1306
3040,Earthly Escapade,,,,,,,earthly-escapade.png,23021
2041,Stormrider's Bolt,,,,,,,stormriders-bolt.png,1220
3041,I Venture Forth to Hunt,,,,,,,i-venture-forth-to-hunt.png,23031
2042,Indelible Coterie: Robin,,,,,,,just-inonation.png,1309
3042,Flowing Nightglow,,,,,,,flowing-nightglow.png,23026
2043,Indelible Coterie: Black Swan,,,,,,,ripples-in-reflection.png,1307
3043,Reforged Remembrance,,,,,,,reforged-remembrance.png,23022
2044,Indelible Coterie: Kafka,,,,,,,nessun-dorma.png,1005
3044,Patience Is All You Need,,,,,,,patience-is-all-you-need.png,23006
2045,Let Scent Sink In,,,,,,,let-scent-sink-in.png,1222
3045,Scent Alone Stays True,,,,,,,scent-alone-stays-true.png,23032
2046,Sunset Clause,,,,,,,sunset-clause.png,1112
3046,"Worrisome, Blissful",,,,,,,worrisome-blissful.png,23016
2047,Eyes of a Ninja,,,,,,,eyes-of-a-ninja.png,1317
3047,Ninjutsu Inscription: Dazzling Evilbreaker,,,,,,,ninjutsu-inscription-dazzling-evilbreaker.png,23033
2048,Epochal Spectrum,,,,,,,epochal-spectrum.png,1213
3048,Brighter Than the Sun,,,,,,,brighter-than-the-sun.png,23015
2049,Words of Yore,,,,,,,words-of-yore.png,1308
3049,Along the Passing Shore,,,,,,,along-the-passing-shore.png,23024
2050,Gilded Imprisonment,,,,,,,gilded-imprisonment.png,1304
3050,Inherently Unjust Destiny,,,,,,,inherently-unjust-destiny.png,23023
2051,Eyes to the Stars,,,,,,,eyes-to-the-stars.png,1313
3051,A Grounded Ascent,,,,,,,a-grounded-ascent.png,23034
2052,Swirl of Heavenly Spear,,,,,,,swirl-of-heavenly-spear.png,1204
3052,Before Dawn,,,,,,,before-dawn.png,23010
2053,The Long Voyage Home,,,,,,,the-long-voyage-home.png,1225
3053,Long Road Leads Home,,,,,,,long-road-leads-home.png,23035
2054,Firefull Flyshine,,,,,,,firefull-flyshine.png,1310
3054,Whereabouts Should Dreams Rest,,,,,,,whereabouts-should-dreams-rest.png,23025
2055,Message From Beyond,,,,,,,message-from-beyond.png,1401
3055,Into the Unreachable Veil,,,,,,,into-the-unreachable-veil.png,23037
2056,Indelible Coterie: Lingsha,,,,,,,let-scent-sink-in.png,1222
3056,Scent Alone Stays True,,,,,,,scent-alone-stays-true.png,23032
2057,Indelible Coterie: Feixiao,,,,,,,earth-hurled-ether-curled.png,1220
3057,I Venture Forth to Hunt,,,,,,,i-venture-forth-to-hunt.png,23031
2058,Indelible Coterie: Jade,,,,,,,lien-on-life-lease-on-fate.png,1314
3058,Yet Hope is Priceless,,,,,,,yet-hope-is-priceless.png,23028
2059,Tailored Fate,,,,,,,tailored-fate.png,1402
3059,Time Woven Into Gold,,,,,,,time-woven-into-gold.png,23036
2060,Indelible Coterie: Boothill,,,,,,,dusty-trails-lone-star.png,1315
3060,Sailing Towards a Second Life,,,,,,,sailing-towards-a-second-life.png,23027
2061,Indelible Coterie: Robin,,,,,,,just-inonation.png,1309
3061,Flowing Nightglow,,,,,,,flowing-nightglow.png,23026
