gacha_id,banner_name,user_count,warp_count,jade_spent,avg_5_pity,avg_4_pity,rate_5050
1001,Steller Warp,,,,,,
1002,Departure Warp,,,,,,
2003,Butterfly on Swordtip,,,,,,
3003,Brilliant Fixation,,,,,,
2004,Swirl of Heavenly Spear,,,,,,
3004,Brilliant Fixation,,,,,,
2005,Contact Zero,,,,,,
3005,Brilliant Fixation,,,,,,
2006,Laic Pursuit,,,,,,
3006,Brilliant Fixation,,,,,,
2007,A Lost Soul,,,,,,
3007,Brilliant Fixation,,,,,,
2008,Nessun Dorma,,,,,,
3008,Brilliant Fixation,,,,,,
2009,Epochal Spectrum,,,,,,
3009,Brilliant Fixation,,,,,,
2010,"Foreseen, Foreknown, Foretold",,,,,,
3010,Brilliant Fixation,,,,,,
2011,Gentle Eclipse of the Moon,,,,,,
3011,Brilliant Fixation,,,,,,
2013,Butterfly on Swordtip,,,,,,
3013,Bygone Reminiscence,,,,,,
2012,Sunset Clause,,,,,,
3012,Brilliant Fixation,,,,,,
2014,Bloom in Gloom,,,,,,
3014,Brilliant Fixation,,,,,,
2016,Contact Zero,,,,,,
3016,Bygone Reminiscence,,,,,,
2015,Thorns of Scented Crown,,,,,,
3015,Brilliant Fixation,,,,,,
2018,A Lost Soul,,,,,,
3018,Bygone Reminiscence,,,,,,
2017,Floral Triptych,,,,,,
3017,Brilliant Fixation,,,,,,
2020,Nessun Dorma,,,,,,
3020,Bygone Reminiscence,,,,,,
2019,Panta Rhei,,,,,,
3019,Brilliant Fixation,,,,,,
2022,Epochal Spectrum,,,,,,
3022,Bygone Reminiscence,,,,,,
2021,Ripples in Reflection,,,,,,
3021,Brilliant Fixation,,,,,,
2024,Swirl of Heavenly Spear,,,,,,
3024,Bygone Reminiscence,,,,,,
2023,Sparking Splendor,,,,,,
3023,Brilliant Fixation,,,,,,
2026,Laic Pursuit,,,,,,
3026,Bygone Reminiscence,,,,,,
2025,Words of Yore,,,,,,
3025,Brilliant Fixation,,,,,,
2028,Gentle Eclipse of the Moon,,,,,,
3028,Bygone Reminiscence,,,,,,
2027,Gilded Imprisonment,,,,,,
3027,Brilliant Fixation,,,,,,
2030,Sunset Clause,,,,,,
3030,Bygone Reminiscence,,,,,,
2029,Just Intonation,,,,,,
3029,Brilliant Fixation,,,,,,
2032,"Foreseen, Foreknown, Foretold",,,,,,
3032,Bygone Reminiscence,,,,,,
2031,Dusty Trail's Lone Star,,,,,,
3031,Brilliant Fixation,,,,,,
2034,Floral Triptych,,,,,,
3034,Bygone Reminiscence,,,,,,
2033,Firefull Flyshine,,,,,,
3033,Brilliant Fixation,,,,,,
2036,Thorns of Scented Crown,,,,,,
3036,Bygone Reminiscence,,,,,,
2035,"Lien on Life, Lease on Fate",,,,,,
3035,Brilliant Fixation,,,,,,
